     1.000000    0.001260
     0.976800    0.004469
     0.928491    0.010870
     0.874366    0.017622
     0.819478    0.024048
     0.764470    0.030083
     0.709432    0.035715
     0.654412    0.040926
     0.599458    0.045678
     0.544619    0.049916
     0.489952    0.053563
     0.435525    0.056522
     0.381421    0.058668
     0.327757    0.059848
     0.274699    0.059869
     0.222519    0.058494
     0.171735    0.055429
     0.123580    0.050366
     0.081313    0.043344
     0.049872    0.035508
     0.029599    0.028230
     0.016682    0.021689
     0.008210    0.015506
     0.002866    0.009319
     0.000297    0.003046
     0.000297   -0.003046
     0.002866   -0.009319
     0.008210   -0.015506
     0.016682   -0.021689
     0.029599   -0.028230
     0.049873   -0.035508
     0.081313   -0.043344
     0.123580   -0.050367
     0.171735   -0.055429
     0.222519   -0.058494
     0.274699   -0.059869
     0.327757   -0.059848
     0.381421   -0.058668
     0.435525   -0.056522
     0.489952   -0.053563
     0.544619   -0.049916
     0.599458   -0.045678
     0.654412   -0.040926
     0.709432   -0.035715
     0.764470   -0.030083
     0.819478   -0.024048
     0.874366   -0.017622
     0.928491   -0.010870
     0.976800   -0.004469
     1.000000   -0.001260
